Сведения о пономерном количестве и состоянии летательных аппаратов и авиационных двигателей;"Начальнику управления вооружения Главного командования ВКС, начальнику ЦНИИ ВВС МО
 (при отсутствии рапорт НСУ)";Ежемесячно ко 2 числу месяца, следующего за отчетным;НСУ от 11.11.2020 №548, от 23.07.2025 Вх.№416, от 28.11.2025 Вх.№663, НУВП от 09.07.2025 №3/5863, от 10.11.2020 №3/10135;"01.01
01.02
01.03
01.04
01.05
01.06
01.07
01.08
01.09
01.10
01.11
01.12";0
Сведения о наличии и движении ВВСТ, прибывших на предприятие для проведения капитального ремонта;Начальнику довольствующего органа;Ежегодно к 25 января по состоянию на 1 января;Приложение № 31;25.01;0
"Сведения о ходе выполнения  НИОКР:
1) по работам, номенклатурно включенным в ГОЗ";Заказчику (по принадлежности заказов);Ежеквартально к 1 числу месяца, следующего за отчетным кварталом;Приложение № 32;"01.01
01.04
01.07
01.10";0
"Сведения о ходе выполнения  НИОКР:
2) по всей номенклатуре";Заказчику (по принадлежности заказов);Два раза в год к 10 января и 10 июля по состоянию на 1 января и 1 июля;Приложение № 32;"10.01
10.07";0
Доклад о состоянии защиты государственной тайны и результатах проверки наличия особой важности, совершенно секретных и секретных носителей информации;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 февраля;Форма 1/ЗГТ утв. ТСД ГШ ВС РФ № 1 ;01.02;0
Донесение о фактической осведомленности начальников военных представительств;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 декабря;Приложение № 34;01.12;0
Обобщенные сведения о преступлениях (происшествиях), причинах гибели и травматизма;Начальнику службы уполномоченного по качеству ВВТ;Ежемесячно к 5 числу месяца, следующего за отчетным;По формам. Директивы ГШ ВС РФ от 10 июня 2020 № ДГШ-30дсп;"05.01
05.02
05.03
05.04
05.05
05.06
05.07
05.08
05.09
05.10
05.11
05.12";0
Сведения о рассмотренных в судах жалобах и исковых заявлениях на действия должностных лиц Министерства обороны;Начальнику УВП, начальнику службы уполномоченного по качеству ВВТ;Ежемесячно к 1 числу месяца, следующего за отчетным;Приложение № 37;"01.01
01.02
01.03
01.04
01.05
01.06
01.07
01.08
01.09
01.10
01.11
01.12";0
Сведения о потребном количестве учебных мест на курсах дополнительного профессионального образования военных специалистов для военных представительств на учебный год, начинающийся в следующем календарном;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 15 мая по состоянию на 1 мая;Приложение № 38;15.05;0
Сведения о фактической численности военных специалистов, повысивших квалификацию (прошедших профессиональную переподготовку);Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 15 числу последнего месяца квартала;Приложение № 39;"15.03
15.06
15.09
15.12";0
Сведения о результатах переподготовки и повышения квалификации личного состава военного представительства за прошедший учебный год;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 июля;Приложение № 40;01.07;0
Резерв офицеров для выдвижения на высшие воинские должности и направления на учебу;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 20 октября;Приложение № 41;20.10;0
Заявка на офицеров - выпускников высших учебных заведений;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 сентября;Приложение № 42;01.09;0
Доклад об окончании и результатах представлениях сведений о своих доходах, об имуществе и обязательствах имущественного характера, а также сведений о доходах, об имуществе и обязательствах имущественного характера своих супруги (супруга) и несовершеннолетних детей;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 апреля;По форме из раздела на сайте МО РФ «Противодействие коррупции»;01.04;0
Табличные формы обработанных сведений о своих доходах» об имуществе и обязательствах имущественного характера, а также сведения о доходах, об имуществе и обязательствах имущественного характера своих супруги (супруга) и несовершеннолетних детей (на бумажных и электронных носителях) для размещения на официальном сайте;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 апреля;По форме из раздела на сайте МО РФ «Противодействие коррупции»;01.04;0
Сведения о численности работников;Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 10 марта, 10 июня, 10 сентября и 5 декабря;"Приложение № 46
Таблица 22 ГУК
(направлять на gorbunkov.5050@mail.ru)";"10.03
10.06
10.09
05.12";0
Качественная характеристика работников;Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 10 июня и 5 декабря;"Приложение № 47
Таблица 24 ГУК 
(направлять на gorbunkov.5050@mail.ru)";"10.06
05.12";0
Сведения о вовлеченности инвалидов в трудовую деятельность;Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 10 июня и 5 декабря;"Приложение № 48 
Таблица 24 ГУК
(направлять на gorbunkov.5050@mail.ru)";"10.06
05.12";0
Сведения о военнослужащих и лицах гражданского персонала, выезжавших из Российской Федерации в отчетном квартале;Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 1 декабря, 1 апреля, 1 июля и 1 октября;"Приложение № 49
(Ранее - Прил. № 1 251/101/449дсп от 30.08.2018 г.)";"01.04
01.07
01.10
01.12";0
Сведения об оформлении военнослужащими и лицами гражданского персонала служебных, заграничных и дипломатических паспортов в Главном управлении кадров Министерства обороны Российской Федерации, штабах (кадровых органах) военных округов (флотов), а также в подразделениях МВД Россия (за отчетный квартал);Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 1 декабря, 1 апреля, 1 июля и 1 октября;"Приложение № 50
(Ранее - Прил. № 2 251/101/449дсп от 30.08.2018 г.)";"01.04
01.07
01.10
01.12";0
Уточнение сведений о членах семьи военнослужащих согласно Регламенту взаимодействия с ФКУ УФО МО РФ (приложения к 1Ф/134дсп от 23.12.2020);Руководителю ФКУ «77 ФЭС» МО РФ;Ежеквартально до 10 числа месяца, следующего за отчетным кварталом;"1Ф/1363 от 14.07.2021 
(1Ф/1459 от 29.07.2021,
1Ф/134дсп от 23.12.2020)";"10.01
10.04
10.07
10.10";0
Сведения об объектах информатизации конфиденциального и закрытого сегментов сети передачи данных;Начальнику службы уполномоченного по качеству ВВТ;Каждые два месяца 10.02, 10.04, 10.06, 10.08, 10.10, 10.12 ;251/101/75дсп от 13.02.2025;"10.02
10.04
10.06
10.08
10.10
10.12";0
Список военнослужащих, получающих компенсацию за поднаем;Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 15 числу месяца, последнего в квартале;"НСУ № 251/101/615 от 17.11.2016г,
НУВП № 251/ж/8927 от 17.11.2016";"15.03
15.06
15.09
15.12";0
Донесение по ф. 47/МУ;Начальнику службы уполномоченного по качеству ВВТ;2 раза в год, до 5 июля и 5 декабря по состоянию на 1 августа и 1 января;НСУ № 251/101/50дсп от 28.01.2025;"05.07
05.12";0
Направление сведений о наличии ветеранов и участников СВО;Начальнику службы уполномоченного по качеству ВВТ;При появлении в/сл;"251/101/72дсп от 01.02.2024
Вх. № 242дсп от 06.02.2024";;0
Доклад о выполнении мероприятий, предшествующих увольнению военнослужащих;Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 10 числу месяца, последнего в квартале;251/101/788 от 23.12.2021;"10.03
10.06
10.09
10.12";0
Доклад о направлении отзывов на выпускников в соответствующие ВУЗы;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно до 10 ноября ;251/101/11 от 12.01.2022;10.11;0
Направление сведений по формам, указанным в приложениях № 3 и  № 4 к указанию ЕГШ ВС РФ от 27.03.2021 №314/7/1146дсп;Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 5 июня и 25 декабря;"251/101/283дсп от 27.05.2021
(вх. № 1272дсп)";"05.06
25.12";0
Представление сведений о результатах выполнения Плана, Реестра, а также предложений по внесению в них изменений;Начальнику службы уполномоченного по качеству ВВТ;Два раза в год к 10:00 27.06 и к 10:00 22.12;251/101/15 от 15.01.2025;"26.06
21.12";0
Направление сведений по формам, приведенным в приложении №3;Начальнику службы уполномоченного по качеству ВВТ;Дважды в год к 1 июня и 20 ноября;"251/101/731дсп от 18.11.2024 (УВП 9855)
Вх. № 2115 от 19.11.2024
дополнено НУВП 251/1/9661 от 13.11.25";"01.06
20.11";0
Сведения по коррупции в установленной форме в формате Excel (на сайте Минобороны в разделе «Противодействие коррупции» - «Формы документов»);Начальнику службы уполномоченного по качеству ВВТ;"За 1 квартал – к 10 апреля; за 2 квартал – к 10 июля; за 3 квартал – к 20 сентября; за год – к 10 января.";"УНСУ № 251/101/26 от 22.01.2021
За 2, 3 кварталы и за год – учитывать сведения, поданные ранее. Подавать за год накопительным итогом, в сравнении с аналогичным периодом прошлого года.";"10.01
10.04
10.07
20.09";0
Донесение о готовности предприятия к выполнению мобилизационного задания согласно п. 9 «Методических рекомендаций …» утв. ЗМО 19.03.2021;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 октября;251/101/720дсп от 23.11.2022;01.10;0
Сведения о личных данных военнослужащих (при отсутствии изменений – рапорт в тот же срок);Начальнику службы уполномоченного по качеству ВВТ;К 1 апреля, к 1 июля, к 1 октября, к 15 декабря;251/101/659 от 04.12.2017;"01.04
01.07
01.10
15.12";0
Доклад о проведении сверки с плановым и нормативно-правовым отделом УВП МО РФ по вопросу выполнения Договоров за отчетный период;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 апреля;"251/101/517 от 22.10.2020
(вх. № 1916) от 2020";01.04;0
Отчет о расходовании денежных средств на служебные командировки (направлять только приложение 5 (отчёт о выполнении) без всяких сопроводов и прочей ерунды! Просто таблица в электронном виде по почте без шапок и опознаваний);Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 1 числу месяца;251/101/304 от 29.06.2020;"01.01
01.04
01.07
01.10";0
Моб. сведения согласно Карточке № 18;Администрация г. Коломны;Ежегодно к 30 ноября;Карточка № 18;30.11;0
Сведения о реквизитах отправленных документов по результатам проверки готовности предприятий в особый период (по прилагаемой форме);Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 10 октября;251/101/201дсп от 08.04.2021;10.10;0
Отчет в конце периода обучения по итогам мобилизационной подготовки;Начальнику службы уполномоченного по качеству ВВТ;20 ноября (конец периода обучения);№ 251/101/598дсп от 27.10.2025;20.11;0
Донесение о наличии военнослужащих, в отношении которых возбуждено уголовное дело по ст. 264.1 УК РФ;Начальнику службы уполномоченного по качеству ВВТ;Ежемесячно к 1 числу месяца за текущий год;251/101/529дсп от 15.10.2018;"01.01
01.02
01.03
01.04
01.05
01.06
01.07
01.08
01.09
01.10
01.11
01.12";0
а) Доклад о направлении сведений по стандартизации оборонной продукции по прилагаемым формам;"ФГБУ ""46 ЦНИИ""";Дважды в год 20 января и 20 июня;251/101/269дсп от 22.04.2022 (вх. № 808дсп);"20.01
20.06";0
б) Доклад о направлении сведений по стандартизации оборонной продукции по прилагаемым формам с приложением копий исходящих писем;Начальнику службы уполномоченного по качеству ВВТ;Дважды в год 1 февраля и 1 июля;"251/101/272дсп от 22.04.2024
(вх. № 845дсп от 25.04.2024)";"01.02
01.07";0
Сведения о летучем контроле;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 10 декабря;251/101/698 от 27.12.2016;10.12;0
Предложения по плану перемещения на следующий календарный год;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 20 ноября;"251/101/2 от 09.01.2019 
(ошибочно записано в указании: от 09.12.2018)";20.11;0
Доклад о проведенных мероприятиях по проверке фактического проживания военнослужащих;Начальнику службы уполномоченного по качеству ВВТ;"к 15 июня,
к 20 апреля, 
к 20 октября
 и к 15 декабря";"251/101/12 от 10.01.2019 
251/101/216 от 14.04.2021
";"20.04
15.06
20.10
15.12";0
Сведения по прилагаемой форме о передаче Отчетов ВП МО;Начальнику службы уполномоченного по качеству ВВТ;Ежемесячно к 28 числу месяца;исх. от 29.01.2019г. № 251/101/64;"28.01
28.02
28.03
28.04
28.05
28.06
28.07
28.08
28.09
28.10
28.11
28.12";0
Сведения о трудоустройстве граждан после увольнения с военной слежбы или отсутствии сведений о дальнейшем трудоустройстве;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 25 марта, 25 июня, 25 сент, 20 декабря;251/101/693 от 12.12.2025, вх. 2701;"25.03
25.06
25.09
20.12";0
Доклад о ходе реализации антикоррупционного плана;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно  25 января 2026, 2027, 2028 гг. ;251/101/244 от 14.05.2025;25.01;0
Подача предложений в план противодействия коррупции;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно  до 28 сентября;251/101/244 от 14.05.2025;27.09;0
Доклад о мониторинге трудоустройства граждан, уволившихся в течение последних двух лет, проходивших службу в ВП МО РФ;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 июля и 1 декабря;251/101/244 от 14.05.2025;"01.07
01.12";0
Списки военнослужащих, подлежащих аттестации в следующем календарном году;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 15 июля;251/101/128 от 11.03.2025;15.07;0
Данные о контактах, штатной и списочной численности военнослужащих и гражданского персонала;Руководителю ФКУ «77 ФЭС» МО РФ;Ежеквартально к 1 числу месяца, следующего за отчетным периодом;№ 1Ф/638 от 25.03.2022 (вх. № 656);"01.01
01.04
01.07
01.10";0
Предложения для внесения изменений в План перемещения по форме приложения;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно до 1 сентября года, предшествующего перемещению;№ 251/101/192 от 30.03.2023;01.09;0
Направление штатов на подчиненное ВП на сверку;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно 25 июня;251/101/356дсп от 11.06.2024;25.06;0
Направление реестра государственных контрактов (контрактов), а также сведений в таблице Excel по межзаводским договорам;Начальнику службы уполномоченного по качеству ВВТ;Дважды в год до 1 июля и 31 декабря;НСУ от 22.01.2021 № 251/101/30;"01.07
30.12";0
Доведение до л/с требований о недопущении размещения сведений в сети «Интернет» (п. 27, пр. № 1, ук. 3958д); ВП МО РФ;"Ежегодно
01.06";"251/8/3958дсп от 27.04.2024
Вх. № 1168дсп от 21.06.2024
251/8/5042дсп от 03.06.2024
Вх. № 1174дсп от 21.06.2024";01.06;0
Прибытие в 101СУ для ознакомления со служебной карточкой ;Начальнику службы уполномоченного по качеству ВВТ;Два раза в год – 01 июня и 01 ноября;251/101/128 от 11.03.2025;"01.06
01.11";0
Сведения по бездействию, несвоевременному докладу о предпосылках по форме 2/ГОЗ или рапорт;Начальнику 101 СУ;в течение суток или при отсутсвии до 27 числа;№251/10/5425 от 25.06.2025, инв. 307дсп;"26.01
26.02
26.03
26.04
26.05
26.06
26.07
26.08
26.09
26.10
26.11
26.12";0
Представление проекта Плана служебных командировок на следующий год и расчет обоснование в эл. виде xls;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно 25 июля;"251/101/304 от 29.06.2020
251/101/220дсп от 04.04.2022";25.07;0
Сведения о фактах приостановки приемки и отгрузки продукции и иных нарушениях допущенных ПП;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 10 января, 10 июля, 20 ноября;251/101/722 от 24.12.2025, вх. 2718;"10.01
10.07
20.11";0
Направление сведений по подключению ЕИС ГОЗ и почты mil.ru;Начальнику службы уполномоченного по качеству ВВТ;Шесть раз в год к 10 апр, 10 июн, 10 авг, 10 окт, 10 дек, 10 фев;"251/101/75дсп от 13.02.2025
Вх. № 303д от 15.02.2025";"10.02
10.04
10.06
10.08
10.10
10.12";0
а) Представление сведений о продукции ИП, применяемой в изделиях ВВСТ в строгом соответствии с формами в формате Excel;"ФГБУ ""46 ЦНИИ""";Ежеквартально до 10 числа месяца, следующего за отчетным кварталом;"251/101/246дсп от 14.04.2022 Вх. № 785дсп,
251/101/637 от 17.10.2022 Вх. № 1887, 
251/101/349 от 10/06/2024";"10.01
10.04
10.07
10.10";0
б) Представление сведений о направлении организациями промышленности сведения о плановых мероприятиях по импортозамещению (с реквизитами + вх. номер, за каждый месяц);Начальнику службы уполномоченного по качеству ВВТ;Дважды в год 15 июня и 15 декабря;251/101/560дсп;"15.06
15.12";0
Направление результатов перепроверок предприятий (при неудовлетворительных результатах ежегодной моб. проверки);101 СУ, Заказывающий (довольствующий) орган, Головным исполнителям моб. заданий.;Ежегодно к 1 апреля (при отрицательных результатах проверки),;251/101/274дсп от 25.04.2022 Вх. № 841дсп;01.04;0
Доклад о причинах невозможности увольнения с военной службы в/сл. обеспеченных постоянным жилым помещением;Начальнику службы уполномоченного по качеству ВВТ;Ежеквартально к 10 числу последнего месяца квартала;"251/101/480 от 09.08.2022
Вх. № 1493 от 11.08.2022";"10.03
10.06
10.09
10.12";0
Доклад о результатах сверки имущества РХБЗ;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 декабря;"Приказ 101 СУ № 165 от 27.09.2022 
Вх. № 1753 от 28.09.2022";01.12;0
Сведения о трудоустройстве участников СВО и членов их семей;Начальнику 101 СУ;ежеквартально до 7 марта, 7 июня, 7 сентября, 7 декабря ;№251/101/434 от 04.08.2025, вх. 1499;"07.03
07.06
07.09
07.12";0
Направление списка личного состава, имеющего грубые нарушения ПДД, выявленных по результатам ежемесячной сверки по выявлению военнослужащих, имеющим водительские удостоверения на право управления транспортными средствами - нарушителей правил дорожного движения через онлайн-сервисы официального сайта Государственной инспекции по обеспечению безопасности дорожного движения Министерства внутренних дел Российской Федерации, за которые лица привлечены к административной (уголовной) ответственности, а также документы проведения мероприятий профилактической работы с ними (привлечение к дисциплинарной ответственности);"Начальнику службы уполномоченного по качеству ВВТ, 
(nicolaj.drozdov.72@inbox.ru – дублировать)";Ежемесячно к 30 числу месяца;Приказ НСУ от 17.10.2022 № 175 (вх. № 2003 от 03.11.2022);"29.01
28.02
29.03
29.04
29.05
29.06
29.07
29.08
29.09
29.10
29.11
29.12";0
Направление сведений о продукции военного назначения, изъятой (планируемой к изъятию) в интересах МО РФ;Начальнику службы уполномоченного по качеству ВВТ;Ежемесячно к 10 числу;"№ 251/101/61дсп от 09.02.2023
Вх. № 263дсп от 10.02.2023";"09.01
09.02
09.03
09.04
09.05
09.06
09.07
09.08
09.09
09.10
09.11
09.12";0
Отчет о результатах подведения итогов мобилизационной подготовки за прошедший год и задачах на новый учебный год;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно до 10 ноября;№ 251/101/826дсп от 13.11.2023 года;10.11;0
Справка о фактической осведомленности личного состава военных представительств для доклада по 1ЗГТ;НВП ;Два раза в год 15 июля и 20 декабря;251/101/158дсп от 18.03.2020;"15.07
20.12";0
Сведения по плану снижения ПДЗ (по форме приложения в электронном виде) (251/101/156 от 27.02.2024 Вх. № 396 от 27.02.2024) + пояснения на 10D от 04.03.24;Начальнику службы уполномоченного по качеству ВВТ;Ежемесячно к 18 числу;"251/101/74 от 15.02.2023, вх. №335,
Письмо на 10Д от 10.11.2023";"17.01
17.02
17.03
17.04
17.05
17.06
17.07
17.08
17.09
17.10
17.11
17.12";0
Представление сведений о вновь освоенных в производстве комплектующих изделиях (за исключением ЭКБ) и материалах военного назначения;"ФГБУ ""46 ЦНИИ""";Ежегодно к 1 сентября;251/101/151дсп от 20.03.2025 Вх. № 654дсп;01.09;0
Акт проверки учета личного состава;Начальнику  ВП МО РФ;Ежегодно к 30 марта;;29.03;0
Сведения по проблемным вопросам, предпосылкам срыва сроков по форме п. 11 ТСД;Начальникам ВП МО РФ;"Каждый понедельник 
(при появлении срывов/проблемных вопросов)";;пн;0
Направление заявок на все виды имущества;"231 ВП – продовол.
261 ВП – вооружение
3382 ВП – РХБЗ
868 – мед.
462 – вещ.";Ежеквартально к 1 числу;пр. НСУ № 2с от 12.03.2024 исх. № 12.03.2024 №СУ-036;"30.03
30.06
30.09
30.12";0
Направление сведений о госконтрактах, находящихся на исполнении (в т.ч исполненных) по прилагаемой форме;Военному прокурору Балашихинского гарнизона;Дважды в год 1 июля и 20 декабря;Вх. № 1307 от 06.07.2023;"01.07
20.12";0
Проверка работоспособности учетных записей ЕИС ГОЗ;-;Трижды в год 15 апреля, 15 августа и 15 декабря;Указание ЗНВП;"15.04
15.08
15.12";0
Направление оригинала Акта об оказании услуг по договорам вне ГОЗ за отчетный год;Начальнику УВП МО РФ;Ежегодно до 1 марта;"251/101/395дсп от 27.06.2024
Вх. № 1284дсп от09.07.2024";01.03;0
Направление обобщенной информации о состоянии законности за истекший год по прилагаемой форме;Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 10:00 20 декабря;251/101/137 от 12.03.2025, вх. 502;19.12;0
Направление дополнения к графику проведения аттестации (при наличии в/сл., переведенных из других в/ч.);Начальнику службы уполномоченного по качеству ВВТ;Ежегодно к 1 февраля;251/101/128 от 11.03.2025;01.02;0
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
